PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32390252","Opportunities to diagnose fibrotic lung diseases in routine care: A primary care cohort study","Jones MG, Hillyar CRT, Nibber A, Chisholm A, Wilson A, Maher TM, Kaplan A, Price D, Walsh S, Richeldi L; RESPIRATORY EFFECTIVENESS GROUP'S INTERSTITIAL LUNG DISEASE WORKING GROUP.","Respirology. 2020 Dec;25(12):1274-1282. doi: 10.1111/resp.13836. Epub 2020 May 11.","Jones MG","Respirology","2020","2020/05/12","","","10.1111/resp.13836"
"32346726","Problems with the problem list: challenges of transparency in an era of patient curation","Porter AS, O'Callaghan J, Englund KA, Lorenz RR, Kodish E.","J Am Med Inform Assoc. 2020 Jun 1;27(6):981-984. doi: 10.1093/jamia/ocaa040.","Porter AS","J Am Med Inform Assoc","2020","2020/04/30","PMC7647313","","10.1093/jamia/ocaa040"
"32308887","Towards augmenting structured EHR data: a comparison of manual chart review and patient self-report","Weiskopf NG, Cohen AM, Hannan J, Jarmon T, Dorr DA.","AMIA Annu Symp Proc. 2020 Mar 4;2019:903-912. eCollection 2019.","Weiskopf NG","AMIA Annu Symp Proc","2020","2020/04/21","PMC7153078","",""
"31875417","Electronic Health Record and Problem Lists in Leeds, United Kingdom: Variability of general practitioners' views","Martin PM, Sbaffi L.","Health Informatics J. 2020 Sep;26(3):1898-1911. doi: 10.1177/1460458219895184. Epub 2019 Dec 25.","Martin PM","Health Informatics J","2020","2019/12/26","","","10.1177/1460458219895184"
"31848142","Two algorithms for the reorganisation of the problem list by organ system","Hier DB, Pearson J.","BMJ Health Care Inform. 2019 Dec;26(1):e100024. doi: 10.1136/bmjhci-2019-100024.","Hier DB","BMJ Health Care Inform","2019","2019/12/19","PMC7062335","","10.1136/bmjhci-2019-100024"
"31314721","A Daily Hospital Progress Note that Increases Physician Usability of the Electronic Health Record by Facilitating a Problem-Oriented Approach to the Patient and Reducing Physician Clerical Burden","Sutton JM, Ash SR, Al Makki A, Kalakeche R.","Perm J. 2019;23:18-221. doi: 10.7812/TPP/18-221. Epub 2019 Jun 14.","Sutton JM","Perm J","2019","2019/07/18","PMC6636503","","10.7812/TPP/18-221"
"30815080","Characterizing the Utilization of the Problem List for Pediatric Trauma Care","Durojaiye AB, McGerorge N, Kristen W, Oruc C, Fackler JC, Gurses AP.","AMIA Annu Symp Proc. 2018 Dec 5;2018:404-412. eCollection 2018.","Durojaiye AB","AMIA Annu Symp Proc","2018","2019/03/01","PMC6371241","",""
"30799168","Age Differences in Suicide Risk Screening and Management Prior to Suicide Attempts","Simons K, Van Orden K, Conner KR, Bagge C.","Am J Geriatr Psychiatry. 2019 Jun;27(6):604-608. doi: 10.1016/j.jagp.2019.01.017. Epub 2019 Jan 22.","Simons K","Am J Geriatr Psychiatry","2019","2019/02/26","","","10.1016/j.jagp.2019.01.017"
"30681451","It's Time to Wikify Clinical Documentation: How Collaborative Authorship Can Reduce the Burden and Improve the Quality of the Electronic Health Record","Warner JL, Smith J, Wright A.","Acad Med. 2019 May;94(5):645-650. doi: 10.1097/ACM.0000000000002613.","Warner JL","Acad Med","2019","2019/01/26","","","10.1097/ACM.0000000000002613"
"30306897","Caveats for the Use of the Active Problem List as Ground Truth for Decision Support","Ceusters W, Blaisure J.","Stud Health Technol Inform. 2018;255:10-14.","Ceusters W","Stud Health Technol Inform","2018","2018/10/12","","",""
"29802176","Link between prescriptions and the electronic health record","Nelson SD, Woodroof T, Liu W, Lehmann CU.","Am J Health Syst Pharm. 2018 Jun 1;75(11 Supplement 2):S29-S34. doi: 10.2146/ajhp170455.","Nelson SD","Am J Health Syst Pharm","2018","2018/05/27","","","10.2146/ajhp170455"
"29792976","Simultaneous Bilateral Ureteral Calculi: A New Paradigm for Management","Scotland KB, Hubosky SG, Tanimoto R, Cooper R, Healy KA, Bagley DH.","Urology. 2018 Aug;118:30-35. doi: 10.1016/j.urology.2018.03.052. Epub 2018 May 21.","Scotland KB","Urology","2018","2018/05/25","","","10.1016/j.urology.2018.03.052"
"29531108","Moving From Problem-Oriented to Goal-Directed Health Records","Nagykaldi ZJ, Tange H, De Maeseneer J.","Ann Fam Med. 2018 Mar;16(2):155-159. doi: 10.1370/afm.2180.","Nagykaldi ZJ","Ann Fam Med","2018","2018/03/14","PMC5847355","","10.1370/afm.2180"
"29427581","Returning to (Electronic) Health Records That Guide and Teach","Xu S, Papier A.","Am J Med. 2018 Jul;131(7):723-725. doi: 10.1016/j.amjmed.2017.12.048. Epub 2018 Feb 7.","Xu S","Am J Med","2018","2018/02/11","","","10.1016/j.amjmed.2017.12.048"
"29360995","Impact of problem-based charting on the utilization and accuracy of the electronic problem list","Li RC, Garg T, Cun T, Shieh L, Krishnan G, Fang D, Chen JH.","J Am Med Inform Assoc. 2018 May 1;25(5):548-554. doi: 10.1093/jamia/ocx154.","Li RC","J Am Med Inform Assoc","2018","2018/01/24","PMC6018915","","10.1093/jamia/ocx154"
"29295437","Automatic Loading of Problems Using a Comorbidities Subset: One Step to Organize and Maintain the Patient's Problem List","Márquez Fosser S, Gaiera A, Otero C, Benitez S, Luna D, Quiroz F.","Stud Health Technol Inform. 2017;245:1358.","Márquez Fosser S","Stud Health Technol Inform","2017","2018/01/04","","",""
"29148849","Towards an overarching model for electronic medical-record systems, including problem-oriented, goal-oriented, and other approaches","Tange H, Nagykaldi Z, De Maeseneer J.","Eur J Gen Pract. 2017 Dec;23(1):257-260. doi: 10.1080/13814788.2017.1374367.","Tange H","Eur J Gen Pract","2017","2017/11/18","PMC8816391","","10.1080/13814788.2017.1374367"
"29060842","Rendering Problem-Oriented CCD for chronic diseases","Sungchul Bae, Do-Youn Lee, Il Kon Kim.","Annu Int Conf IEEE Eng Med Biol Soc. 2017 Jul;2017:4277-4280. doi: 10.1109/EMBC.2017.8037801.","Sungchul Bae","Annu Int Conf IEEE Eng Med Biol Soc","2017","2017/10/25","","","10.1109/EMBC.2017.8037801"
"29040634","Implementation of acute care patient portals: recommendations on utility and use from six early adopters","Grossman LV, Choi SW, Collins S, Dykes PC, O'Leary KJ, Rizer M, Strong P, Yen PY, Vawdrey DK.","J Am Med Inform Assoc. 2018 Apr 1;25(4):370-379. doi: 10.1093/jamia/ocx074.","Grossman LV","J Am Med Inform Assoc","2018","2017/10/18","PMC7646852","","10.1093/jamia/ocx074"
"28750905","Automated problem list generation and physicians perspective from a pilot study","Devarakonda MV, Mehta N, Tsou CH, Liang JJ, Nowacki AS, Jelovsek JE.","Int J Med Inform. 2017 Sep;105:121-129. doi: 10.1016/j.ijmedinf.2017.05.015. Epub 2017 Jun 4.","Devarakonda MV","Int J Med Inform","2017","2017/07/29","","","10.1016/j.ijmedinf.2017.05.015"
"28551008","Problem-oriented charting: A review","Chowdhry SM, Mishuris RG, Mann D.","Int J Med Inform. 2017 Jul;103:95-102. doi: 10.1016/j.ijmedinf.2017.04.016. Epub 2017 Apr 29.","Chowdhry SM","Int J Med Inform","2017","2017/05/29","","","10.1016/j.ijmedinf.2017.04.016"
"28512662","A hospital-wide transition from paper to digital problem-oriented clinical notes. A descriptive history and cross-sectional survey of use, usability, and satisfaction","Cillessen FHJM, de Vries Robbé PF, Biermans MCJ.","Appl Clin Inform. 2017 May 17;8(2):502-514. doi: 10.4338/ACI-2016-08-RA-0137.","Cillessen FHJM","Appl Clin Inform","2017","2017/05/18","PMC6241734","","10.4338/ACI-2016-08-RA-0137"
"28334566","Improving Communication with Primary Care Physicians at the Time of Hospital Discharge","Destino LA, Dixit A, Pantaleoni JL, Wood MS, Pageler NM, Kim J, Platchek TS.","Jt Comm J Qual Patient Saf. 2017 Feb;43(2):80-88. doi: 10.1016/j.jcjq.2016.11.005. Epub 2016 Nov 14.","Destino LA","Jt Comm J Qual Patient Saf","2017","2017/03/24","","","10.1016/j.jcjq.2016.11.005"
"28197621","Accelerating the Benefits of the Problem Oriented Medical Record","Buchanan J.","Appl Clin Inform. 2017 Feb 15;8(1):180-190. doi: 10.4338/ACI-2016-04-IE-0054.","Buchanan J","Appl Clin Inform","2017","2017/02/16","PMC5373762","","10.4338/ACI-2016-04-IE-0054"
"27530268","The Use of Evidence-Based, Problem-Oriented Templates as a Clinical Decision Support in an Inpatient Electronic Health Record System","Mehta R, Radhakrishnan NS, Warring CD, Jain A, Fuentes J, Dolganiuc A, Lourdes LS, Busigin J, Leverence RR.","Appl Clin Inform. 2016 Aug 17;7(3):790-802. doi: 10.4338/ACI-2015-11-RA-0164.","Mehta R","Appl Clin Inform","2016","2016/08/18","PMC5052550","","10.4338/ACI-2015-11-RA-0164"
"27485127","Determinants of a successful problem list to support the implementation of the problem-oriented medical record according to recent literature","Simons SM, Cillessen FH, Hazelzet JA.","BMC Med Inform Decis Mak. 2016 Aug 2;16:102. doi: 10.1186/s12911-016-0341-0.","Simons SM","BMC Med Inform Decis Mak","2016","2016/08/04","PMC4970280","","10.1186/s12911-016-0341-0"
"27480728","Effect of implementation of a coded problem list entry subsystem","Chen CC, Chang CH, Peng YC, Poon SK, Huang SC, Li YC.","Comput Methods Programs Biomed. 2016 Oct;134:1-9. doi: 10.1016/j.cmpb.2016.05.012. Epub 2016 May 27.","Chen CC","Comput Methods Programs Biomed","2016","2016/08/03","","","10.1016/j.cmpb.2016.05.012"
"27443322","Evaluation of the delirium early monitoring system (DEMS)","Rippon D, Milisen K, Detroyer E, Mukaetova-Ladinska E, Harrison B, Schuurmans M, Pryor C, Teodorczuk A.","Int Psychogeriatr. 2016 Nov;28(11):1879-1887. doi: 10.1017/S1041610216000983. Epub 2016 Jul 22.","Rippon D","Int Psychogeriatr","2016","2016/07/23","","","10.1017/S1041610216000983"
"27107454","Data quality of electronic medical records in Manitoba: do problem lists accurately reflect chronic disease billing diagnoses?","Singer A, Yakubovich S, Kroeker AL, Dufault B, Duarte R, Katz A.","J Am Med Inform Assoc. 2016 Nov;23(6):1107-1112. doi: 10.1093/jamia/ocw013. Epub 2016 Apr 23.","Singer A","J Am Med Inform Assoc","2016","2016/04/24","","","10.1093/jamia/ocw013"
"27002075","Is the problem list in the eye of the beholder? An exploration of consistency across physicians","Krauss JC, Boonstra PS, Vantsevich AV, Friedman CP.","J Am Med Inform Assoc. 2016 Sep;23(5):859-65. doi: 10.1093/jamia/ocv211. Epub 2016 Mar 21.","Krauss JC","J Am Med Inform Assoc","2016","2016/03/23","PMC4997039","","10.1093/jamia/ocv211"
"26727158","Epidemiology of Sarcoidosis 1946-2013: A Population-Based Study","Ungprasert P, Carmona EM, Utz JP, Ryu JH, Crowson CS, Matteson EL.","Mayo Clin Proc. 2016 Feb;91(2):183-8. doi: 10.1016/j.mayocp.2015.10.024. Epub 2015 Dec 22.","Ungprasert P","Mayo Clin Proc","2016","2016/01/05","PMC4744129","NIHMS737569","10.1016/j.mayocp.2015.10.024"
"26699256","[Quality assurance with administrative data (QSR): follow-up in quality measurement - an analysis of patient records]","Jeschke E, Günster C, Klauber J.","Z Evid Fortbild Qual Gesundhwes. 2015;109(9-10):673-81. doi: 10.1016/j.zefq.2015.09.022. Epub 2015 Nov 25.","Jeschke E","Z Evid Fortbild Qual Gesundhwes","2015","2015/12/25","","","10.1016/j.zefq.2015.09.022"
"26542116","Any versus long-term prescribing of high risk medications in older people using 2012 Beers Criteria: results from three cross-sectional samples of primary care records for 2003/4, 2007/8 and 2011/12","Ble A, Masoli JA, Barry HE, Winder RE, Tavakoly B, Henley WE, Kuchel GA, Valderas JM, Melzer D, Richards SH.","BMC Geriatr. 2015 Nov 5;15:146. doi: 10.1186/s12877-015-0143-8.","Ble A","BMC Geriatr","2015","2015/11/07","PMC4635594","","10.1186/s12877-015-0143-8"
"26338219","Combining billing codes, clinical notes, and medications from electronic health records provides superior phenotyping performance","Wei WQ, Teixeira PL, Mo H, Cronin RM, Warner JL, Denny JC.","J Am Med Inform Assoc. 2016 Apr;23(e1):e20-7. doi: 10.1093/jamia/ocv130. Epub 2015 Sep 2.","Wei WQ","J Am Med Inform Assoc","2016","2015/09/05","PMC4954637","","10.1093/jamia/ocv130"
"26313074","Monitoring and evaluating surgical care: defining perioperative mortality rate and standardising data collection","Palmqvist CL, Ariyaratnam R, Watters DA, Laing GL, Stupart D, Hider P, Ng-Kamstra JS, Wilson L, Clarke DL, Hagander L, Greenberg SL, Gruen RL.","Lancet. 2015 Apr 27;385 Suppl 2:S27. doi: 10.1016/S0140-6736(15)60822-4. Epub 2015 Apr 26.","Palmqvist CL","Lancet","2015","2015/08/28","","","10.1016/S0140-6736(15)60822-4"
"26262179","Problem Oriented Medical Record: Characterizing the Use of the Problem List at Hospital Italiano de Buenos Aires","Franco M, Giussi Bordoni MV, Otero C, Landoni MC, Benitez S, Borbolla D, Luna D.","Stud Health Technol Inform. 2015;216:877.","Franco M","Stud Health Technol Inform","2015","2015/08/12","","",""
"26262001","Electronic Dental Records System Adoption","Abramovicz-Finkelsztain R, Barsottini CG, Marin HF.","Stud Health Technol Inform. 2015;216:17-20.","Abramovicz-Finkelsztain R","Stud Health Technol Inform","2015","2015/08/12","","",""
"26245239","An algorithm to improve diagnostic accuracy in diabetes in computerised problem orientated medical records (POMR) compared with an established algorithm developed in episode orientated records (EOMR)","de Lusignan S, Liaw ST, Dedman D, Khunti K, Sadek K, Jones S.","J Innov Health Inform. 2015 Jun 5;22(2):255-64. doi: 10.14236/jhi.v22i2.79.","de Lusignan S","J Innov Health Inform","2015","2015/08/07","","","10.14236/jhi.v22i2.79"
"26228650","Problem list completeness in electronic health records: A multi-site study and assessment of success factors","Wright A, McCoy AB, Hickman TT, Hilaire DS, Borbolla D, Bowes WA 3rd, Dixon WG, Dorr DA, Krall M, Malholtra S, Bates DW, Sittig DF.","Int J Med Inform. 2015 Oct;84(10):784-90. doi: 10.1016/j.ijmedinf.2015.06.011. Epub 2015 Jul 17.","Wright A","Int J Med Inform","2015","2015/08/01","PMC4549158","NIHMS711546","10.1016/j.ijmedinf.2015.06.011"
"26190042","[Introduction of the Screening Tool OncoFunction for Functional Follow-up of Head and Neck Patients]","Zebralla V, Pohle N, Singer S, Neumuth T, Dietz A, Stier-Jarmer M, Boehm A.","Laryngorhinootologie. 2016 Feb;95(2):118-24. doi: 10.1055/s-0035-1549858. Epub 2015 Jul 17.","Zebralla V","Laryngorhinootologie","2016","2015/07/21","","","10.1055/s-0035-1549858"
"26184057","A structured approach to recording AIDS-defining illnesses in Kenya: A SNOMED CT based solution","Oluoch T, de Keizer N, Langat P, Alaska I, Ochieng K, Okeyo N, Kwaro D, Cornet R.","J Biomed Inform. 2015 Aug;56:387-94. doi: 10.1016/j.jbi.2015.07.009. Epub 2015 Jul 13.","Oluoch T","J Biomed Inform","2015","2015/07/18","PMC4987091","NIHMS807744","10.1016/j.jbi.2015.07.009"
"26171079","Validation of a Crowdsourcing Methodology for Developing a Knowledge Base of Related Problem-Medication Pairs","McCoy AB, Wright A, Krousel-Wood M, Thomas EJ, McCoy JA, Sittig DF.","Appl Clin Inform. 2015 May 20;6(2):334-44. doi: 10.4338/ACI-2015-01-RA-0010. eCollection 2015.","McCoy AB","Appl Clin Inform","2015","2015/07/15","PMC4493334","","10.4338/ACI-2015-01-RA-0010"
"26044987","[Objectives and organization for the long-term follow-up after childhood cancer]","Berger C, El Fayech C, Pacquement H, Demoor-Goldschmidt C, Ducassou S, Ansoborlo S, Defachelles AS.","Bull Cancer. 2015 Jul-Aug;102(7-8):579-85. doi: 10.1016/j.bulcan.2015.03.022. Epub 2015 Jun 1.","Berger C","Bull Cancer","2015","2015/06/06","","","10.1016/j.bulcan.2015.03.022"
"25725003","An exploration of the properties of the CORE problem list subset and how it facilitates the implementation of SNOMED CT","Fung KW, Xu J.","J Am Med Inform Assoc. 2015 May;22(3):649-58. doi: 10.1093/jamia/ocu022. Epub 2015 Feb 26.","Fung KW","J Am Med Inform Assoc","2015","2015/03/01","PMC5566198","","10.1093/jamia/ocu022"
"25589908","Increasing patient engagement: patients' responses to viewing problem lists online","Wright A, Feblowitz J, Maloney FL, Henkin S, Ramelson H, Feltman J, Bates DW.","Appl Clin Inform. 2014 Nov 26;5(4):930-42. doi: 10.4338/ACI-2014-07-RA-0057. eCollection 2014.","Wright A","Appl Clin Inform","2014","2015/01/16","PMC4287672","","10.4338/ACI-2014-07-RA-0057"
"25458656","Cognitive status in patients hospitalized with acute decompensated heart failure","Levin SN, Hajduk AM, McManus DD, Darling CE, Gurwitz JH, Spencer FA, Goldberg RJ, Saczynski JS.","Am Heart J. 2014 Dec;168(6):917-23. doi: 10.1016/j.ahj.2014.08.008. Epub 2014 Sep 16.","Levin SN","Am Heart J","2014","2014/12/03","PMC4856016","NIHMS631793","10.1016/j.ahj.2014.08.008"
"25377477","From adverse drug event detection to prevention. A novel clinical decision support framework for medication safety","Koutkias VG, McNair P, Kilintzis V, Skovhus Andersen K, Niès J, Sarfati JC, Ammenwerth E, Chazard E, Jensen S, Beuscart R, Maglaveras N.","Methods Inf Med. 2014;53(6):482-92. doi: 10.3414/ME14-01-0027. Epub 2014 Nov 7.","Koutkias VG","Methods Inf Med","2014","2014/11/08","","","10.3414/ME14-01-0027"
"24986988","A quality improvement study to improve inpatient problem list use","Bakel LA, Wilson K, Tyler A, Tham E, Reese J, Bothner J, Kaplan DW.","Hosp Pediatr. 2014 Jul;4(4):205-10. doi: 10.1542/hpeds.2013-0060.","Bakel LA","Hosp Pediatr","2014","2014/07/03","","","10.1542/hpeds.2013-0060"
"24872343","Bringing science to medicine: an interview with Larry Weed, inventor of the problem-oriented medical record","Wright A, Sittig DF, McGowan J, Ash JS, Weed LL.","J Am Med Inform Assoc. 2014 Nov-Dec;21(6):964-8. doi: 10.1136/amiajnl-2014-002776. Epub 2014 May 28.","Wright A","J Am Med Inform Assoc","2014","2014/05/30","PMC4215056","","10.1136/amiajnl-2014-002776"
"24551319","Identifying inconsistencies in SNOMED CT problem lists using structural indicators","Agrawal A, Perl Y, Chen Y, Elhanan G, Liu M.","AMIA Annu Symp Proc. 2013 Nov 16;2013:17-26. eCollection 2013.","Agrawal A","AMIA Annu Symp Proc","2013","2014/02/20","PMC3900119","",""
"25954468","Enabling claims-based decision support through non-interruptive capture of admission diagnoses and provider billing codes","Walsh CG, Vawdrey DK, Stetson PD, Fred MR, Hripcsak G.","AMIA Annu Symp Proc. 2014 Nov 14;2014:1950-9. eCollection 2014.","Walsh CG","AMIA Annu Symp Proc","2014","2015/05/09","PMC4419872","",""
"25954372","Problem management module: an innovative system to improve problem list workflow","Hodge CM, Kuttler KG, Bowes WA 3rd, Narus SP.","AMIA Annu Symp Proc. 2014 Nov 14;2014:661-70. eCollection 2014.","Hodge CM","AMIA Annu Symp Proc","2014","2015/05/09","PMC4419930","",""
"24321170","Development of a clinician reputation metric to identify appropriate problem-medication pairs in a crowdsourced knowledge base","McCoy AB, Wright A, Rogith D, Fathiamini S, Ottenbacher AJ, Sittig DF.","J Biomed Inform. 2014 Apr;48:66-72. doi: 10.1016/j.jbi.2013.11.010. Epub 2013 Dec 7.","McCoy AB","J Biomed Inform","2014","2013/12/11","PMC4026169","NIHMS547826","10.1016/j.jbi.2013.11.010"
"24136693","Adding obesity to the problem list increases the rate of providers addressing obesity","Banerjee ES, Gambler A, Fogleman C.","Fam Med. 2013 Oct;45(9):629-33.","Banerjee ES","Fam Med","2013","2013/10/19","","",""
